,release_date,runtime,return_on_investment,genres_popularity_score,genres_vote_score,keywords_popularity_score,keywords_vote_score,casts_popularity_score,casts_vote_score,directors_popularity_score,directors_vote_score
1,1995-12-15,104.0,3.0430346,9.903371407794728,6.072674261578219,15.16192941875,6.847499999999999,13.869074360654777,6.606112578053757,10.780018285714288,6.328571428571429
2,1995-12-22,127.0,4.09075975,7.84314112472904,6.301381509579843,8.654152297942858,6.208577142857142,8.587000940324463,6.147535014005602,3.859495,6.1
3,1995-12-15,170.0,2.123946966666667,9.449854193113351,6.274454111991883,11.771508895906617,6.713410378613714,13.073621334133072,6.853290901783636,10.8184883,6.58
4,1995-12-22,106.0,0.8385763142857143,9.908622105841403,6.107123265760525,8.945046947253706,6.03993993993994,7.706168367992425,6.030669191919192,7.402446300000001,5.66
6,1995-11-17,106.0,0.7399918709677419,7.84314112472904,6.301381509579843,11.196906072222223,6.34020202020202,8.90227564477513,6.405070546737213,10.043544307692308,6.753846153846155
7,1995-12-22,192.0,-0.6890507954545455,8.415804225327951,6.656495480355048,8.567859114152816,6.722716571518968,8.529568324658104,6.396137815414048,10.5419379375,6.625000000000001
8,1995-12-22,119.0,-0.8977824285714285,9.858623722099892,6.084277391938372,10.536882635294118,6.4738316993464045,10.648771540956222,6.130134408602148,9.646817999999998,5.700000000000001
9,1995-11-22,178.0,1.2329302884615385,8.95875953238657,6.450108079244537,9.13841758602564,6.807935897435897,10.437846036084835,7.2021566547370774,11.723928529411765,7.3882352941176475
10,1995-12-13,136.0,7.181818181818182,7.773939437923203,6.414406335166219,10.900262200363636,6.714115151515151,9.897385850610753,6.561544351073763,9.376783888888887,6.611111111111111
11,1995-12-09,98.0,0.075,8.848800845590677,6.230852996178143,8.976664385937607,6.443151416545779,13.696035501951515,6.371994147252533,14.415994462499999,6.6040624999999995
12,1995-11-10,90.0,6.079517766666667,9.180523433675098,6.195158500053136,9.566731629040403,6.2818686868686875,8.753187327694821,5.9028508333771486,7.5951984999999995,5.699999999999999
13,1995-11-21,103.0,-0.40948145,9.190293508512399,6.168830422809969,9.785258690762422,6.234743689825658,8.751723399979713,6.121528069354156,8.686106599999999,5.94
14,1995-10-20,105.0,2.805012297520661,9.23540685483526,6.2048403352537065,9.59768963587343,6.447899372978653,10.304361840357492,6.304897855280919,11.164200142857144,6.042857142857144
15,1995-10-06,132.0,-0.39393856,9.860480877591211,6.176935982807692,10.769488622370817,6.363427552414734,10.38154440224851,6.062281543052003,11.971601692307692,6.56923076923077
16,1995-10-27,112.0,12.833333333333334,7.773939437923203,6.414406335166219,10.454434404543019,6.73163039566223,9.945142406730056,6.399455627705627,6.5754135,6.4
17,1995-10-20,100.0,1.2833333333333334,8.566259246673708,6.204934711682603,8.840769460152316,6.609081623946267,9.158375430232436,6.166330100363816,8.681325,6.6
18,1995-05-16,108.0,-0.9034105,10.194530954745664,6.061186203457447,9.858423489612356,6.5745094750181785,10.396103932201434,7.519461769461768,10.843909,7.2666666666666675
19,1995-12-29,129.0,4.7233898305084745,10.185315252496117,6.158032011224027,11.45743972343254,6.689815476190478,11.637987218136564,7.122282456368658,10.1039458,6.720000000000001
20,1995-07-18,89.0,7.4711636666666665,9.012287995953363,6.170856789969627,11.19336655952381,6.182380952380953,12.326953332473543,6.123913139329806,11.502053,6.15
21,1995-12-29,122.0,2.5785122727272727,8.201461871932501,6.513842024539881,10.058040253512686,6.974936039423104,8.355347917942062,6.720031403494136,6.891317,7.3
22,1995-08-18,101.0,5.788662222222222,10.111826539074087,6.056704150452161,9.893722760827952,5.893459883232982,9.188238383459595,5.3778282828282835,7.707982909090907,5.818181818181818
23,1995-05-20,106.0,0.0642257,9.135499871847491,6.2026529802956265,9.443227408934936,6.590184194890078,10.251248336969544,6.448033350362543,8.8103834,6.65
24,1995-10-06,116.0,1.357413,7.773939437923203,6.414406335166219,8.012301562740811,6.456229868142725,8.04030976620977,6.383002577487869,6.221409,6.7
27,1995-07-19,106.0,2.890261333333333,9.30871264603252,6.351010390631302,13.9365404,7.31795918367347,12.267870666412513,6.770004246960768,6.70137325,7.1
28,1995-09-13,95.0,-0.5533333333333333,7.66398075112731,6.195151252099825,9.602579887459099,6.571145529059968,10.767963990803665,6.525591665279165,8.466433833333333,6.933333333333334
29,1995-04-26,91.0,7.061690857142857,7.981544498340715,6.075331858407092,10.716189296031747,6.746785714285714,9.619566125896629,6.278358811076202,13.99079725,6.675000000000001
30,1996-01-19,108.0,0.3598218947368421,9.795975244493393,6.100210473326791,10.789343846310677,6.465267438907146,14.63399588439656,6.598156647992699,10.027883749999999,5.85625
32,1996-01-26,90.0,-0.8638313333333333,8.748657934044312,6.0504810552539645,11.195257799999998,6.380000000000001,9.374446336616163,5.691544011544012,8.4091466,5.36
33,1995-09-08,108.0,-0.71090575,9.987598044026694,5.904016773809017,12.642671880952383,6.092063492063493,9.74738666005291,6.055026455026455,8.502163666666666,5.566666666666666
34,1995-12-01,116.0,-0.93377925,8.95875953238657,6.450108079244537,9.77104611472115,6.460468619829321,8.592145469110191,6.255515497375254,7.864003,6.55
35,1996-02-02,129.0,-0.7289473684210527,9.037370353144173,6.279313650306752,10.222671762293905,6.434086159360352,9.398291001358228,6.319933486557016,18.804294523809524,6.552380952380952
36,1995-11-22,90.0,0.0007323704430810578,9.30871264603252,6.351010390631302,10.14599162371126,6.582269921298574,9.89999449701479,6.144393638768638,9.820953249999999,6.375
37,1996-02-23,104.0,-0.7366084680851064,8.785610956655875,6.199623788404196,11.281506206935935,6.179926760870157,13.587147039278715,6.319209192768015,7.8477863333333335,6.455555555555555
38,1995-10-26,100.0,0.4142857142857143,8.304635859902428,6.069056658026388,9.726892110000001,5.211999999999999,9.39100018103697,5.735691562588115,8.385301,6.0200000000000005
39,1996-02-09,108.0,2.00540294,9.481832047364177,6.208802955455364,11.906452955771032,6.272051663589894,11.78328587767817,6.100631996658313,10.494921571428574,6.3571428571428585
40,1996-02-21,91.0,-0.9199901428571429,8.63302118770462,6.325182672298722,10.023497421242615,6.569409603522158,8.437792082792209,6.629448051948052,8.483744,7.375000000000001
41,1996-02-16,92.0,2.43375825,7.981544498340715,6.075331858407092,10.516004681149402,6.649708141321045,9.401414674468608,6.1991401658702685,10.574909444444447,5.722222222222222
42,1995-05-28,135.0,6.584025708333333,7.773939437923203,6.414406335166219,9.126347111151206,6.8531328323944125,7.904643818244949,6.955233585858585,9.190555615384614,6.776923076923078
43,1995-05-24,177.0,1.9166666666666667,8.821388450360917,6.506110725862596,11.683226483522727,7.01324494949495,15.220728404112661,7.119644428368564,16.509360333333333,7.6000000000000005
44,1976-02-07,114.0,20.74044153846154,8.95875953238657,6.450108079244537,12.880148634086169,6.918172226497585,11.827795446082039,7.365185411347649,11.723928529411765,7.3882352941176475
45,1995-01-30,91.0,3.3189396,9.394874849715404,6.164826570458685,10.01165057440719,6.369907347505861,11.39797752314815,6.280555555555555,12.232209666666668,6.366666666666667
46,1995-09-29,113.0,-0.74887444,8.091503185136608,6.2945869414734865,8.503045122652756,6.3222434123253795,7.420117490611241,6.066482128982129,9.040739875,6.025
47,1992-06-30,117.0,0.7525,7.66398075112731,6.195151252099825,7.580849490249434,5.93124716553288,7.771206595319823,5.830774927221703,5.68057825,5.55
48,1996-03-22,92.0,1.1003482857142857,7.66398075112731,6.195151252099825,7.978328896212121,6.33154614325069,8.206959460413083,6.399088483455342,12.658440666666666,6.716666666666666
49,1995-10-13,95.0,-0.8029678,9.346597896289346,6.2106714694499345,10.65565249288425,6.124289907495257,9.55795744754889,5.754093060301043,9.29268425,6.4875
50,1996-03-08,117.0,4.976146870967742,7.981544498340715,6.075331858407092,8.026668615121705,6.597440191387561,8.560307753684617,6.307440394916402,7.267669333333334,6.800000000000001
51,1995-04-07,118.0,6.442474947368421,9.394874849715405,6.164826570458685,10.503960725392949,6.338234541752848,9.574314418566853,6.369081026982777,11.543865714285715,6.557142857142857
