budget,runtime,return_on_investment,genres_popularity_score,genres_vote_score,keywords_popularity_score,keywords_vote_score,casts_popularity_score,casts_vote_score,directors_popularity_score,directors_vote_score,release_year,release_month
65000000,104.0,3.0430346,9.903371407794728,6.072674261578219,15.16192941875,6.847499999999999,51.046617,21.25,10.780018285714288,6.328571428571429,1995,12
16000000,127.0,4.09075975,7.84314112472904,6.301381509579843,8.654152297942858,6.208577142857142,35.209637180952384,19.33666666666667,3.859495,6.1,1995,12
60000000,170.0,2.123946966666667,9.449854193113351,6.274454111991883,11.771508895906617,6.713410378613714,53.774781000000004,23.1,10.8184883,6.58,1995,12
35000000,106.0,0.8385763142857143,9.908622105841403,6.107123265760525,8.945046947253706,6.03993993993994,27.660010145454542,19.21068181818182,7.402446300000001,5.66,1995,12
62000000,106.0,0.7399918709677419,7.84314112472904,6.301381509579843,11.196906072222223,6.34020202020202,34.55862175714286,20.6,10.043544307692308,6.753846153846155,1995,11
44000000,192.0,-0.6890507954545455,8.415804225327951,6.656495480355048,8.567859114152816,6.722716571518968,33.702046840659335,21.15,10.5419379375,6.625000000000001,1995,12
98000000,119.0,-0.8977824285714285,9.858623722099892,6.084277391938372,10.536882635294118,6.4738316993464045,55.9135618,20.057142857142857,9.646817999999998,5.700000000000001,1995,12
52000000,178.0,1.2329302884615385,8.95875953238657,6.450108079244537,9.13841758602564,6.807935897435897,43.59020717857143,24.0,11.723928529411765,7.3882352941176475,1995,11
16500000,136.0,7.181818181818182,7.773939437923203,6.414406335166219,10.900262200363636,6.714115151515151,35.001596861176466,21.45714285714286,9.376783888888887,6.611111111111111,1995,12
30000000,90.0,6.079517766666667,9.180523433675098,6.195158500053136,9.566731629040403,6.2818686868686875,34.47578404637468,19.23397129186603,7.5951984999999995,5.699999999999999,1995,11
60000000,103.0,-0.40948145,9.190293508512399,6.168830422809969,9.785258690762422,6.234743689825658,32.9477308560606,20.12846153846154,8.686106599999999,5.94,1995,11
30250000,105.0,2.805012297520661,9.23540685483526,6.2048403352537065,9.59768963587343,6.447899372978653,40.67292213333333,20.23,11.164200142857144,6.042857142857144,1995,10
50000000,132.0,-0.39393856,9.860480877591211,6.176935982807692,10.769488622370817,6.363427552414734,36.7952981,19.425,11.971601692307692,6.56923076923077,1995,10
3600000,112.0,12.833333333333334,7.773939437923203,6.414406335166219,10.454434404543019,6.73163039566223,38.3844281,20.754166666666666,6.5754135,6.4,1995,10
12000000,100.0,1.2833333333333334,8.566259246673708,6.204934711682603,8.840769460152316,6.609081623946267,32.366816349206346,19.72121212121212,8.681325,6.6,1995,10
18000000,108.0,-0.9034105,10.194530954745664,6.061186203457447,9.858423489612356,6.5745094750181785,39.14027349999999,23.099999999999998,10.843909,7.2666666666666675,1995,5
29500000,129.0,4.7233898305084745,10.185315252496117,6.158032011224027,11.45743972343254,6.689815476190478,41.62086230459771,22.4,10.1039458,6.720000000000001,1995,12
30000000,89.0,7.4711636666666665,9.012287995953363,6.170856789969627,11.19336655952381,6.182380952380953,43.21429200000001,19.31904761904762,11.502053,6.15,1995,7
11000000,122.0,2.5785122727272727,8.201461871932501,6.513842024539881,10.058040253512686,6.974936039423104,34.66926358935801,22.1,6.891317,7.3,1995,12
18000000,101.0,5.788662222222222,10.111826539074087,6.056704150452161,9.893722760827952,5.893459883232982,32.0755598125,17.92777777777778,7.707982909090907,5.818181818181818,1995,8
20000000,106.0,0.0642257,9.135499871847491,6.2026529802956265,9.443227408934936,6.590184194890078,40.58878691666666,20.65,8.8103834,6.65,1995,5
10000000,116.0,1.357413,7.773939437923203,6.414406335166219,8.012301562740811,6.456229868142725,35.97451601587302,20.71825396825397,6.221409,6.7,1995,10
6000000,106.0,2.890261333333333,9.30871264603252,6.351010390631302,13.9365404,7.31795918367347,56.255370557142854,24.299999999999997,6.70137325,7.1,1995,7
15000000,95.0,-0.5533333333333333,7.66398075112731,6.195151252099825,9.602579887459099,6.571145529059968,42.0664343125,20.522727272727273,8.466433833333333,6.933333333333334,1995,9
3500000,91.0,7.061690857142857,7.981544498340715,6.075331858407092,10.716189296031747,6.746785714285714,42.2341715,21.3,13.99079725,6.675000000000001,1995,4
15000000,90.0,-0.8638313333333333,8.748657934044312,6.0504810552539645,11.195257799999998,6.380000000000001,33.68562153409091,18.09444444444445,8.4091466,5.36,1996,1
20000000,108.0,-0.71090575,9.987598044026694,5.904016773809017,12.642671880952383,6.092063492063493,36.433229000000004,18.883333333333333,8.502163666666666,5.566666666666666,1995,9
8000000,116.0,-0.93377925,8.95875953238657,6.450108079244537,9.77104611472115,6.460468619829321,37.44497780981153,20.272727272727273,7.864003,6.55,1995,12
38000000,129.0,-0.7289473684210527,9.037370353144173,6.279313650306752,10.222671762293905,6.434086159360352,33.57685526666667,19.977777777777778,18.804294523809524,6.552380952380952,1996,2
8169363,90.0,0.0007323704430810578,9.30871264603252,6.351010390631302,10.14599162371126,6.582269921298574,41.162738702272726,19.627500000000005,9.820953249999999,6.375,1995,11
47000000,104.0,-0.7366084680851064,8.785610956655875,6.199623788404196,11.281506206935935,6.179926760870157,68.4097424264706,19.676428571428573,7.8477863333333335,6.455555555555555,1996,2
14000000,100.0,0.4142857142857143,8.304635859902428,6.069056658026388,9.726892110000001,5.211999999999999,36.623901490909084,18.25731601731602,8.385301,6.0200000000000005,1995,10
50000000,108.0,2.00540294,9.481832047364177,6.208802955455364,11.906452955771032,6.272051663589894,52.796659733333335,19.58328947368421,10.494921571428574,6.3571428571428585,1996,2
